Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
prof,eni,NotA,NotA,std_mat,ece,btech,3,Yes
prof,chem,NotA,NotA,attdn,ece,btech,3,Yes
prof,pha,NotA,NotA,attdn,me,mtech,1,Yes
prof,eni,NotA,NotA,std_mat,ece,mtech,1,Yes
stu,cse,ME,2,asgn,cse,ME,2,Yes
prof,chem,NotA,NotA,std_mat,ce,btech,2,Yes
prof,ce,NotA,NotA,quiz,ce,btech,2,Yes
stu,pha,btech,2,asgn,pha,btech,2,Yes
prof,eni,NotA,NotA,std_mat,IT,btech,4,Yes
prof,eni,NotA,NotA,attdn,eni,mtech,2,Yes
prof,pha,NotA,NotA,std_mat,IT,btech,2,Yes
prof,IT,NotA,NotA,attdn,me,mtech,2,Yes
adj_prof,ce,NotA,NotA,asgn,ce,btech,2,Yes
prof,eni,NotA,NotA,attdn,chem,btech,2,Yes
prof,pha,NotA,NotA,attdn,cse,btech,4,Yes
prof,eni,NotA,NotA,attdn,eni,btech,2,Yes
prof,IT,NotA,NotA,std_mat,ce,btech,3,Yes
prof,eni,NotA,NotA,attdn,me,btech,4,Yes
prof,chem,NotA,NotA,std_mat,pha,mtech,1,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,btech,1,Yes
vis_prof,ce,NotA,NotA,asgn,ce,btech,2,Yes
prof,chem,NotA,NotA,std_mat,me,mtech,1,Yes
prof,IT,NotA,NotA,attdn,ece,btech,1,Yes
prof,IT,NotA,NotA,std_mat,chem,mtech,2,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,btech,1,Yes
stu,ece,BE,3,asgn,ece,BE,3,Yes
prof,chem,NotA,NotA,attdn,eni,btech,2,Yes
prof,IT,NotA,NotA,std_mat,IT,btech,4,Yes
prof,eni,NotA,NotA,attdn,pha,mtech,2,Yes
prof,pha,NotA,NotA,std_mat,ce,mtech,2,Yes
prof,eni,NotA,NotA,std_mat,eni,btech,1,Yes
stu,IT,btech,2,asgn,IT,btech,2,Yes
stu,ce,BE,1,asgn,ce,BE,1,Yes
prof,IT,NotA,NotA,std_mat,eni,btech,3,Yes
prof,eni,NotA,NotA,std_mat,cse,btech,1,Yes
adj_prof,ece,NotA,NotA,asgn,ece,btech,2,Yes
prof,pha,NotA,NotA,attdn,eni,mtech,2,Yes
stu,ece,ME,2,asgn,ece,ME,2,Yes
prof,IT,NotA,NotA,attdn,ce,mtech,1,Yes
prof,pha,NotA,NotA,attdn,ce,btech,3,Yes
prof,pha,NotA,NotA,attdn,me,btech,2,Yes
prof,pha,NotA,NotA,attdn,ece,mtech,2,Yes
prof,IT,NotA,NotA,std_mat,ece,mtech,2,Yes
adj_prof,cse,NotA,NotA,q_pr,cse,btech,4,Yes
vis_prof,ce,NotA,NotA,q_pr,ce,mtech,2,Yes
prof,IT,NotA,NotA,attdn,pha,btech,1,Yes
prof,chem,NotA,NotA,attdn,chem,btech,1,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,btech,2,Yes
prof,IT,NotA,NotA,attdn,me,btech,4,Yes
prof,eni,NotA,NotA,std_mat,me,btech,3,Yes
prof,eni,NotA,NotA,std_mat,cse,btech,4,Yes
prof,chem,NotA,NotA,attdn,chem,mtech,2,Yes
prof,ce,NotA,NotA,proj,ce,btech,2,Yes
prof,IT,NotA,NotA,attdn,cse,btech,2,Yes
prof,chem,NotA,NotA,std_mat,ece,btech,4,Yes
prof,IT,NotA,NotA,attdn,chem,btech,3,Yes
prof,eni,NotA,NotA,std_mat,eni,btech,4,Yes
vis_prof,me,NotA,NotA,asgn,me,btech,4,Yes
prof,eni,NotA,NotA,attdn,cse,btech,1,Yes
adj_prof,ece,NotA,NotA,asgn,ece,btech,3,Yes
vis_prof,me,NotA,NotA,q_pr,me,btech,4,Yes
prof,pha,NotA,NotA,std_mat,ece,btech,1,Yes
stu,me,ME,2,asgn,me,ME,2,Yes
prof,chem,NotA,NotA,std_mat,me,btech,4,Yes
stu,pha,btech,4,asgn,pha,btech,4,Yes
adj_prof,ce,NotA,NotA,q_pr,ce,mtech,2,Yes
prof,pha,NotA,NotA,attdn,IT,btech,4,Yes
prof,pha,NotA,NotA,std_mat,chem,mtech,2,Yes
stu,eni,btech,2,asgn,eni,btech,2,Yes
adj_prof,me,NotA,NotA,q_pr,me,btech,4,Yes
prof,eni,NotA,NotA,attdn,IT,btech,1,Yes
prof,IT,NotA,NotA,std_mat,IT,mtech,1,Yes
prof,pha,NotA,NotA,std_mat,eni,mtech,2,Yes
prof,ece,NotA,NotA,quiz,ece,mtech,1,Yes
vis_prof,me,NotA,NotA,q_pr,me,btech,3,Yes
prof,IT,NotA,NotA,stu_rec,IT,btech,2,Yes
prof,IT,NotA,NotA,attdn,IT,btech,4,Yes
prof,IT,NotA,NotA,stu_rec,eni,btech,2,Yes
prof,eni,NotA,NotA,attdn,IT,mtech,2,Yes
prof,pha,NotA,NotA,std_mat,cse,btech,3,Yes
prof,pha,NotA,NotA,attdn,ce,btech,4,Yes
prof,pha,NotA,NotA,attdn,chem,btech,4,Yes
prof,IT,NotA,NotA,std_mat,pha,mtech,2,Yes
vis_prof,me,NotA,NotA,asgn,me,btech,1,Yes
prof,chem,NotA,NotA,std_mat,IT,mtech,1,Yes
prof,pha,NotA,NotA,std_mat,me,btech,3,Yes
prof,eni,NotA,NotA,std_mat,me,btech,4,Yes
prof,eni,NotA,NotA,attdn,ece,btech,1,Yes
vis_prof,me,NotA,NotA,q_pr,me,mtech,2,Yes
prof,IT,NotA,NotA,attdn,IT,btech,1,Yes
prof,me,NotA,NotA,proj,me,mtech,1,Yes
prof,IT,NotA,NotA,stu_rec,IT,btech,4,Yes
prof,pha,NotA,NotA,std_mat,ce,btech,4,Yes
prof,IT,NotA,NotA,attdn,cse,btech,4,Yes
prof,chem,NotA,NotA,std_mat,ece,btech,2,Yes
prof,eni,NotA,NotA,std_mat,ce,btech,1,Yes
prof,chem,NotA,NotA,std_mat,eni,mtech,2,Yes
prof,chem,NotA,NotA,std_mat,ce,btech,1,Yes
prof,IT,NotA,NotA,attdn,ece,btech,2,Yes
prof,chem,NotA,NotA,attdn,ece,mtech,2,Yes
prof,pha,NotA,NotA,std_mat,IT,btech,3,Yes
vis_prof,cse,NotA,NotA,q_pr,cse,btech,4,Yes
prof,pha,NotA,NotA,std_mat,ece,btech,3,Yes
vis_prof,me,NotA,NotA,asgn,me,btech,2,Yes
prof,IT,NotA,NotA,attdn,IT,btech,3,Yes
adj_prof,ce,NotA,NotA,asgn,ce,mtech,2,Yes
prof,pha,NotA,NotA,attdn,cse,btech,1,Yes
prof,IT,NotA,NotA,std_mat,cse,btech,1,Yes
prof,cse,NotA,NotA,proj,cse,btech,3,Yes
prof,pha,NotA,NotA,attdn,IT,mtech,2,Yes
vis_prof,cse,NotA,NotA,asgn,cse,btech,4,Yes
prof,eni,NotA,NotA,std_mat,cse,mtech,1,Yes
prof,IT,NotA,NotA,attdn,ce,mtech,2,Yes
prof,chem,NotA,NotA,std_mat,cse,btech,3,Yes
prof,eni,NotA,NotA,std_mat,eni,btech,3,Yes
prof,ece,NotA,NotA,quiz,ece,btech,4,Yes
prof,eni,NotA,NotA,std_mat,pha,btech,2,Yes
prof,cse,NotA,NotA,proj,cse,mtech,2,Yes
vis_prof,cse,NotA,NotA,asgn,cse,mtech,1,Yes
prof,chem,NotA,NotA,attdn,eni,btech,4,Yes
prof,eni,NotA,NotA,attdn,IT,mtech,1,Yes
prof,eni,NotA,NotA,std_mat,IT,mtech,2,Yes
stu,eni,mtech,1,asgn,eni,mtech,1,Yes
prof,eni,NotA,NotA,std_mat,eni,btech,2,Yes
prof,eni,NotA,NotA,attdn,chem,mtech,2,Yes
stu,pha,btech,3,asgn,pha,btech,3,Yes
stu,IT,btech,4,asgn,IT,btech,4,Yes
prof,IT,NotA,NotA,stu_rec,eni,btech,4,Yes
prof,pha,NotA,NotA,attdn,eni,mtech,1,Yes
prof,chem,NotA,NotA,attdn,pha,mtech,2,Yes
adj_prof,ece,NotA,NotA,asgn,ece,btech,4,Yes
prof,chem,NotA,NotA,attdn,ce,btech,2,Yes
prof,eni,NotA,NotA,std_mat,ece,btech,1,Yes
stu,pha,btech,1,asgn,pha,btech,1,Yes
prof,chem,NotA,NotA,attdn,ce,btech,3,Yes
prof,eni,NotA,NotA,attdn,chem,btech,4,Yes
prof,eni,NotA,NotA,attdn,IT,btech,2,Yes
prof,pha,NotA,NotA,attdn,chem,btech,2,Yes
prof,ce,NotA,NotA,quiz,ce,btech,1,Yes
prof,chem,NotA,NotA,std_mat,cse,mtech,2,Yes
prof,IT,NotA,NotA,std_mat,eni,btech,4,Yes
prof,eni,NotA,NotA,std_mat,IT,mtech,1,Yes
prof,chem,NotA,NotA,attdn,me,btech,3,Yes
vis_prof,ece,NotA,NotA,q_pr,ece,mtech,2,Yes
adj_prof,ece,NotA,NotA,q_pr,ece,mtech,2,Yes
officer,accounts,NotA,NotA,q_pr,eni,mtech,4,No
stu,eni,btech,1,asgn,ce,btech,3,No
stu,IT,btech,3,asgn,cse,btech,1,No
officer,accounts,NotA,NotA,q_pr,chem,btech,1,No
stu,eni,btech,4,asgn,ce,btech,2,No
stu,IT,btech,1,asgn,IT,btech,3,No
stu,chem,btech,2,asgn,ce,btech,1,No
stu,IT,btech,2,asgn,ece,btech,2,No
stu,pha,btech,3,asgn,ece,btech,1,No
stu,IT,btech,2,asgn,ce,btech,2,No
stu,pha,btech,2,asgn,cse,btech,3,No
stu,IT,btech,4,asgn,IT,btech,2,No
officer,accounts,NotA,NotA,q_pr,pha,mtech,3,No
stu,IT,btech,1,asgn,ce,btech,4,No
stu,ece,mtech,1,dept_bud,cse,NotA,NotA,No
stu,chem,btech,3,asgn,ce,btech,3,No
stu,eni,btech,4,asgn,cse,btech,4,No
stu,me,BE,4,asgn,me,BE,2,No
prof,ce,NotA,NotA,dept_bud,cse,NotA,NotA,No
stu,eni,btech,2,asgn,cse,btech,4,No
stu,eni,btech,3,asgn,ce,btech,2,No
stu,eni,btech,2,asgn,me,btech,4,No
officer,accounts,NotA,NotA,q_pr,IT,mtech,3,No
stu,IT,btech,1,asgn,IT,btech,2,No
stu,chem,btech,2,asgn,me,btech,2,No
stu,eni,btech,1,asgn,cse,btech,3,No
stu,pha,btech,1,asgn,me,btech,3,No
stu,eni,btech,1,asgn,eni,btech,3,No
stu,chem,btech,4,asgn,cse,btech,2,No
stu,IT,btech,4,asgn,ece,btech,1,No
stu,eni,btech,3,asgn,me,btech,3,No
stu,cse,BE,3,asgn,cse,BE,1,No
stu,eni,btech,4,asgn,me,btech,4,No
stu,eni,btech,4,asgn,ce,btech,3,No
stu,eni,btech,1,asgn,cse,btech,4,No
stu,IT,btech,1,asgn,IT,btech,4,No
stu,eni,btech,1,asgn,ece,btech,3,No
stu,pha,btech,2,asgn,me,btech,2,No
stu,cse,BE,4,asgn,cse,BE,1,No
stu,IT,btech,1,asgn,ece,btech,4,No
stu,pha,btech,4,asgn,cse,btech,4,No
stu,IT,btech,2,asgn,me,btech,3,No
stu,IT,btech,4,asgn,ce,btech,3,No
stu,pha,btech,1,asgn,ce,btech,4,No
stu,chem,btech,3,asgn,ece,btech,4,No
stu,chem,btech,2,asgn,me,btech,3,No
stu,IT,btech,1,asgn,cse,btech,4,No
stu,IT,btech,2,asgn,cse,btech,3,No
stu,eni,btech,1,asgn,me,btech,2,No
stu,eni,btech,3,asgn,ece,btech,3,No
stu,pha,btech,1,asgn,ece,btech,4,No
stu,IT,btech,1,asgn,ece,btech,3,No
stu,pha,btech,2,asgn,ce,btech,4,No
stu,chem,btech,4,asgn,me,btech,4,No
stu,pha,btech,2,asgn,cse,btech,1,No
stu,ce,mtech,1,dept_bud,cse,NotA,NotA,No
stu,IT,btech,1,asgn,me,btech,4,No
stu,IT,btech,3,asgn,IT,btech,2,No
stu,pha,btech,4,asgn,ce,btech,4,No
stu,eni,btech,2,asgn,cse,btech,3,No
officer,accounts,NotA,NotA,q_pr,chem,btech,3,No
stu,chem,btech,2,asgn,cse,btech,4,No
stu,eni,btech,2,asgn,ce,btech,3,No
stu,chem,btech,1,asgn,ce,btech,2,No
stu,IT,btech,4,asgn,cse,btech,1,No
stu,me,BE,3,asgn,me,BE,1,No
stu,chem,btech,2,asgn,me,btech,1,No
stu,eni,btech,2,asgn,ece,btech,2,No
stu,pha,btech,4,asgn,ece,btech,2,No
stu,chem,btech,1,asgn,cse,btech,1,No
stu,pha,btech,4,asgn,pha,btech,3,No
stu,IT,btech,1,asgn,ce,btech,3,No
stu,pha,btech,4,asgn,ece,btech,4,No
stu,ece,BE,3,asgn,ece,BE,2,No
stu,chem,btech,2,asgn,ece,btech,1,No
stu,pha,btech,4,asgn,ece,btech,3,No
stu,IT,btech,1,asgn,cse,btech,3,No
stu,pha,btech,3,asgn,cse,btech,1,No
stu,me,BE,4,asgn,me,BE,3,No
stu,cse,ME,2,asgn,cse,ME,1,No
stu,chem,btech,4,asgn,ce,btech,1,No
stu,pha,btech,2,asgn,me,btech,3,No
officer,accounts,NotA,NotA,q_pr,eni,btech,4,No
stu,eni,btech,3,asgn,ce,btech,4,No
stu,eni,btech,2,asgn,eni,btech,4,No
stu,IT,btech,2,asgn,ece,btech,3,No
stu,IT,btech,2,asgn,ece,btech,1,No
prof,ce,NotA,NotA,dept_bud,ece,NotA,NotA,No
stu,chem,btech,2,asgn,ece,btech,2,No
stu,pha,btech,3,asgn,me,btech,1,No
stu,chem,btech,1,asgn,ce,btech,3,No
officer,accounts,NotA,NotA,q_pr,pha,mtech,4,No
officer,accounts,NotA,NotA,q_pr,pha,btech,2,No
stu,pha,btech,4,asgn,me,btech,1,No
stu,IT,btech,4,asgn,ce,btech,1,No
stu,eni,btech,3,asgn,cse,btech,2,No
stu,IT,btech,4,asgn,me,btech,3,No
officer,accounts,NotA,NotA,q_pr,IT,btech,1,No
stu,pha,btech,1,asgn,me,btech,4,No
stu,eni,btech,2,asgn,cse,btech,2,No
stu,eni,btech,3,asgn,ce,btech,1,No
stu,eni,btech,1,asgn,cse,btech,1,No
prof,me,NotA,NotA,dept_bud,ece,NotA,NotA,No
stu,eni,btech,1,asgn,eni,btech,4,No
stu,chem,btech,1,asgn,cse,btech,4,No
stu,eni,btech,1,asgn,me,btech,3,No
stu,chem,btech,3,asgn,chem,btech,4,No
stu,pha,btech,4,asgn,me,btech,2,No
stu,chem,btech,1,asgn,ce,btech,4,No
stu,eni,btech,4,asgn,eni,btech,2,No
stu,chem,btech,4,asgn,me,btech,1,No
stu,pha,btech,2,asgn,ce,btech,2,No
stu,pha,btech,3,asgn,ece,btech,2,No
stu,pha,btech,2,asgn,ce,btech,1,No
officer,accounts,NotA,NotA,q_pr,eni,btech,2,No
stu,pha,btech,3,asgn,ce,btech,3,No
stu,IT,btech,1,asgn,ece,btech,1,No
stu,pha,btech,1,asgn,cse,btech,4,No
stu,eni,btech,3,asgn,cse,btech,4,No
stu,pha,btech,1,asgn,ce,btech,1,No
prof,cse,NotA,NotA,dept_bud,ece,NotA,NotA,No
stu,IT,btech,4,asgn,ce,btech,2,No
stu,IT,btech,2,asgn,IT,btech,4,No
stu,chem,btech,1,asgn,cse,btech,2,No
stu,eni,btech,4,asgn,me,btech,1,No
stu,pha,btech,2,asgn,ece,btech,1,No
stu,eni,btech,1,asgn,eni,btech,2,No
stu,IT,btech,4,asgn,cse,btech,2,No
stu,pha,btech,2,asgn,ece,btech,2,No
stu,pha,btech,2,asgn,ece,btech,4,No
stu,IT,btech,1,asgn,ce,btech,2,No
stu,ce,BE,4,asgn,ce,BE,1,No
stu,pha,btech,2,asgn,me,btech,4,No
stu,pha,btech,1,asgn,pha,btech,2,No
stu,me,mtech,1,dept_bud,cse,NotA,NotA,No
stu,IT,btech,2,asgn,cse,btech,2,No
stu,pha,btech,1,asgn,ce,btech,3,No
stu,IT,btech,3,asgn,ce,btech,4,No
stu,chem,btech,2,asgn,chem,btech,4,No
stu,pha,btech,1,asgn,ece,btech,3,No
prof,ece,NotA,NotA,dept_bud,ce,NotA,NotA,No
stu,eni,btech,4,asgn,me,btech,2,No
stu,IT,btech,4,asgn,ece,btech,2,No
stu,IT,btech,3,asgn,me,btech,1,No
stu,eni,btech,4,asgn,ce,btech,4,No
stu,cse,BE,4,asgn,cse,BE,3,No
stu,eni,btech,3,asgn,ece,btech,1,No
stu,ce,ME,2,asgn,ce,ME,1,No
stu,eni,btech,2,asgn,eni,btech,3,No
stu,chem,btech,3,asgn,cse,btech,1,No
stu,chem,btech,2,asgn,cse,btech,2,No
stu,ce,BE,4,asgn,ce,BE,3,No
stu,chem,btech,1,asgn,ece,btech,3,No
stu,IT,btech,3,asgn,IT,btech,4,No
stu,IT,btech,1,asgn,ce,btech,1,No
stu,chem,btech,2,asgn,chem,btech,3,No
officer,accounts,NotA,NotA,q_pr,eni,mtech,3,No
stu,eni,btech,2,asgn,ce,btech,1,No
stu,IT,btech,3,asgn,cse,btech,2,No
stu,cse,BE,4,asgn,cse,BE,2,No
stu,chem,btech,3,asgn,ece,btech,3,No
stu,pha,btech,1,asgn,ece,btech,2,No
stu,chem,btech,1,asgn,cse,btech,3,No
stu,eni,btech,4,asgn,cse,btech,1,No
stu,eni,btech,2,asgn,cse,btech,1,No
stu,chem,btech,3,asgn,cse,btech,4,No
stu,pha,btech,4,asgn,pha,btech,2,No
stu,pha,btech,1,asgn,me,btech,1,No
stu,eni,btech,3,asgn,eni,btech,2,No
stu,chem,btech,3,asgn,chem,btech,1,No
stu,pha,btech,4,asgn,cse,btech,2,No
stu,chem,btech,1,asgn,me,btech,2,No
stu,cse,mtech,1,dept_bud,cse,NotA,NotA,No
stu,eni,btech,2,asgn,me,btech,3,No
stu,IT,btech,3,asgn,ece,btech,3,No
stu,IT,btech,4,asgn,ece,btech,3,No
stu,me,BE,3,asgn,me,BE,2,No
stu,ece,BE,2,asgn,ece,BE,1,No
stu,chem,btech,3,asgn,me,btech,4,No
stu,chem,btech,4,asgn,ece,btech,2,No
stu,chem,btech,4,asgn,ece,btech,1,No
stu,IT,btech,3,asgn,cse,btech,3,No
stu,chem,btech,4,asgn,ece,btech,4,No
stu,pha,btech,1,asgn,pha,btech,3,No
stu,IT,btech,4,asgn,me,btech,4,No
stu,IT,btech,2,asgn,ce,btech,1,No
stu,IT,btech,3,asgn,ece,btech,4,No
stu,me,ME,2,asgn,me,ME,1,No
stu,pha,btech,1,asgn,cse,btech,1,No
stu,ece,mtech,2,dept_bud,cse,NotA,NotA,No
stu,cse,mtech,2,dept_bud,cse,NotA,NotA,No
stu,eni,btech,4,asgn,cse,btech,2,No
stu,IT,btech,2,asgn,me,btech,1,No
stu,IT,btech,1,asgn,cse,btech,2,No
officer,accounts,NotA,NotA,q_pr,pha,btech,3,No
stu,eni,btech,2,asgn,ece,btech,3,No
stu,pha,btech,4,asgn,ce,btech,1,No
stu,pha,btech,3,asgn,me,btech,2,No
officer,accounts,NotA,NotA,q_pr,eni,mtech,2,No
stu,IT,btech,4,asgn,IT,btech,3,No
officer,accounts,NotA,NotA,q_pr,chem,mtech,3,No
stu,pha,mtech,2,asgn,pha,mtech,1,No
stu,ce,BE,3,asgn,ce,BE,2,No
stu,chem,btech,1,asgn,chem,btech,3,No
stu,ece,BE,3,asgn,ece,BE,1,No
stu,eni,btech,4,asgn,eni,btech,1,No
stu,IT,btech,2,asgn,me,btech,2,No
stu,IT,btech,3,asgn,ce,btech,3,No
stu,IT,btech,1,asgn,ece,btech,2,No
stu,pha,btech,4,asgn,pha,btech,1,No
stu,eni,btech,3,asgn,cse,btech,3,No
stu,pha,btech,3,asgn,pha,btech,4,No
stu,IT,btech,3,asgn,me,btech,3,No
officer,accounts,NotA,NotA,q_pr,IT,btech,4,No
stu,IT,btech,3,asgn,ce,btech,1,No
stu,eni,btech,1,asgn,cse,btech,2,No
stu,chem,btech,4,asgn,me,btech,2,No
stu,pha,btech,1,asgn,ce,btech,2,No
stu,chem,btech,4,asgn,chem,btech,1,No
stu,eni,btech,3,asgn,cse,btech,1,No
stu,pha,btech,3,asgn,ce,btech,1,No
stu,pha,btech,3,asgn,ce,btech,2,No
stu,IT,btech,3,asgn,ece,btech,2,No
stu,chem,btech,2,asgn,chem,btech,1,No
officer,accounts,NotA,NotA,q_pr,IT,btech,2,No
stu,chem,mtech,2,asgn,chem,mtech,1,No
stu,eni,btech,2,asgn,me,btech,2,No
stu,IT,mtech,2,asgn,IT,mtech,1,No
stu,chem,btech,4,asgn,ce,btech,4,No
stu,cse,BE,2,asgn,cse,BE,1,No
stu,pha,btech,2,asgn,ce,btech,3,No
officer,accounts,NotA,NotA,q_pr,pha,btech,4,No
stu,eni,btech,1,asgn,ce,btech,2,No
stu,chem,btech,3,asgn,me,btech,3,No
stu,chem,btech,1,asgn,ce,btech,1,No
stu,chem,btech,4,asgn,ce,btech,3,No
stu,eni,btech,4,asgn,me,btech,3,No
stu,chem,btech,2,asgn,ece,btech,4,No
stu,IT,btech,1,asgn,cse,btech,1,No
stu,ce,BE,3,asgn,ce,BE,1,No
stu,pha,btech,3,asgn,ece,btech,4,No
stu,chem,btech,3,asgn,me,btech,1,No
