Cluster,Dataset,Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
1,1,prof,chem,NotA,NotA,attdn,ece,btech,3,Yes
1,1,prof,pha,NotA,NotA,attdn,me,mtech,1,Yes
0,1,prof,eni,NotA,NotA,std_mat,ece,mtech,1,Yes
2,1,stu,cse,ME,2,asgn,cse,ME,2,Yes
0,1,prof,chem,NotA,NotA,std_mat,ce,btech,2,Yes
8,1,prof,ce,NotA,NotA,quiz,ce,btech,2,Yes
2,1,stu,pha,btech,2,asgn,pha,btech,2,Yes
0,1,prof,eni,NotA,NotA,std_mat,IT,btech,4,Yes
-1,1,prof,eni,NotA,NotA,attdn,eni,mtech,2,Yes
0,1,prof,pha,NotA,NotA,std_mat,IT,btech,2,Yes
1,1,prof,IT,NotA,NotA,attdn,me,mtech,2,Yes
4,1,adj_prof,ce,NotA,NotA,asgn,ce,btech,2,Yes
1,1,prof,eni,NotA,NotA,attdn,chem,btech,2,Yes
1,1,prof,pha,NotA,NotA,attdn,cse,btech,4,Yes
-1,1,prof,eni,NotA,NotA,attdn,eni,btech,2,Yes
0,1,prof,IT,NotA,NotA,std_mat,ce,btech,3,Yes
1,1,prof,eni,NotA,NotA,attdn,me,btech,4,Yes
0,1,prof,chem,NotA,NotA,std_mat,pha,mtech,1,Yes
3,1,vis_prof,ce,NotA,NotA,q_pr,ce,btech,1,Yes
7,1,vis_prof,ce,NotA,NotA,asgn,ce,btech,2,Yes
0,1,prof,chem,NotA,NotA,std_mat,me,mtech,1,Yes
1,1,prof,IT,NotA,NotA,attdn,ece,btech,1,Yes
0,1,prof,IT,NotA,NotA,std_mat,chem,mtech,2,Yes
5,1,adj_prof,cse,NotA,NotA,q_pr,cse,btech,1,Yes
2,1,stu,ece,BE,3,asgn,ece,BE,3,Yes
1,1,prof,chem,NotA,NotA,attdn,eni,btech,2,Yes
-1,1,prof,IT,NotA,NotA,std_mat,IT,btech,4,Yes
1,1,prof,eni,NotA,NotA,attdn,pha,mtech,2,Yes
0,1,prof,pha,NotA,NotA,std_mat,ce,mtech,2,Yes
-1,1,prof,eni,NotA,NotA,std_mat,eni,btech,1,Yes
2,1,stu,IT,btech,2,asgn,IT,btech,2,Yes
2,1,stu,ce,BE,1,asgn,ce,BE,1,Yes
0,1,prof,IT,NotA,NotA,std_mat,eni,btech,3,Yes
0,1,prof,eni,NotA,NotA,std_mat,cse,btech,1,Yes
4,1,adj_prof,ece,NotA,NotA,asgn,ece,btech,2,Yes
1,1,prof,pha,NotA,NotA,attdn,eni,mtech,2,Yes
2,1,stu,ece,ME,2,asgn,ece,ME,2,Yes
1,1,prof,IT,NotA,NotA,attdn,ce,mtech,1,Yes
1,1,prof,pha,NotA,NotA,attdn,ce,btech,3,Yes
1,1,prof,pha,NotA,NotA,attdn,me,btech,2,Yes
1,1,prof,pha,NotA,NotA,attdn,ece,mtech,2,Yes
0,1,prof,IT,NotA,NotA,std_mat,ece,mtech,2,Yes
5,1,adj_prof,cse,NotA,NotA,q_pr,cse,btech,4,Yes
3,1,vis_prof,ce,NotA,NotA,q_pr,ce,mtech,2,Yes
1,1,prof,IT,NotA,NotA,attdn,pha,btech,1,Yes
-1,1,prof,chem,NotA,NotA,attdn,chem,btech,1,Yes
5,1,adj_prof,ce,NotA,NotA,q_pr,ce,btech,2,Yes
1,1,prof,IT,NotA,NotA,attdn,me,btech,4,Yes
0,1,prof,eni,NotA,NotA,std_mat,me,btech,3,Yes
0,1,prof,eni,NotA,NotA,std_mat,cse,btech,4,Yes
-1,1,prof,chem,NotA,NotA,attdn,chem,mtech,2,Yes
6,1,prof,ce,NotA,NotA,proj,ce,btech,2,Yes
1,1,prof,IT,NotA,NotA,attdn,cse,btech,2,Yes
0,1,prof,chem,NotA,NotA,std_mat,ece,btech,4,Yes
1,1,prof,IT,NotA,NotA,attdn,chem,btech,3,Yes
-1,1,prof,eni,NotA,NotA,std_mat,eni,btech,4,Yes
7,1,vis_prof,me,NotA,NotA,asgn,me,btech,4,Yes
1,1,prof,eni,NotA,NotA,attdn,cse,btech,1,Yes
4,1,adj_prof,ece,NotA,NotA,asgn,ece,btech,3,Yes
3,1,vis_prof,me,NotA,NotA,q_pr,me,btech,4,Yes
0,1,prof,pha,NotA,NotA,std_mat,ece,btech,1,Yes
2,1,stu,me,ME,2,asgn,me,ME,2,Yes
0,1,prof,chem,NotA,NotA,std_mat,me,btech,4,Yes
2,1,stu,pha,btech,4,asgn,pha,btech,4,Yes
5,1,adj_prof,ce,NotA,NotA,q_pr,ce,mtech,2,Yes
1,1,prof,pha,NotA,NotA,attdn,IT,btech,4,Yes
0,1,prof,pha,NotA,NotA,std_mat,chem,mtech,2,Yes
2,1,stu,eni,btech,2,asgn,eni,btech,2,Yes
5,1,adj_prof,me,NotA,NotA,q_pr,me,btech,4,Yes
1,1,prof,eni,NotA,NotA,attdn,IT,btech,1,Yes
-1,1,prof,IT,NotA,NotA,std_mat,IT,mtech,1,Yes
0,1,prof,pha,NotA,NotA,std_mat,eni,mtech,2,Yes
8,1,prof,ece,NotA,NotA,quiz,ece,mtech,1,Yes
3,1,vis_prof,me,NotA,NotA,q_pr,me,btech,3,Yes
-1,1,prof,IT,NotA,NotA,stu_rec,IT,btech,2,Yes
-1,1,prof,IT,NotA,NotA,attdn,IT,btech,4,Yes
-1,1,prof,IT,NotA,NotA,stu_rec,eni,btech,2,Yes
1,1,prof,eni,NotA,NotA,attdn,IT,mtech,2,Yes
0,1,prof,pha,NotA,NotA,std_mat,cse,btech,3,Yes
1,1,prof,pha,NotA,NotA,attdn,ce,btech,4,Yes
1,1,prof,pha,NotA,NotA,attdn,chem,btech,4,Yes
0,1,prof,IT,NotA,NotA,std_mat,pha,mtech,2,Yes
7,1,vis_prof,me,NotA,NotA,asgn,me,btech,1,Yes
0,1,prof,chem,NotA,NotA,std_mat,IT,mtech,1,Yes
0,1,prof,pha,NotA,NotA,std_mat,me,btech,3,Yes
0,1,prof,eni,NotA,NotA,std_mat,me,btech,4,Yes
1,1,prof,eni,NotA,NotA,attdn,ece,btech,1,Yes
3,1,vis_prof,me,NotA,NotA,q_pr,me,mtech,2,Yes
-1,1,prof,IT,NotA,NotA,attdn,IT,btech,1,Yes
6,1,prof,me,NotA,NotA,proj,me,mtech,1,Yes
-1,1,prof,IT,NotA,NotA,stu_rec,IT,btech,4,Yes
0,1,prof,pha,NotA,NotA,std_mat,ce,btech,4,Yes
1,1,prof,IT,NotA,NotA,attdn,cse,btech,4,Yes
0,1,prof,chem,NotA,NotA,std_mat,ece,btech,2,Yes
0,1,prof,eni,NotA,NotA,std_mat,ce,btech,1,Yes
0,1,prof,chem,NotA,NotA,std_mat,eni,mtech,2,Yes
0,1,prof,chem,NotA,NotA,std_mat,ce,btech,1,Yes
1,1,prof,IT,NotA,NotA,attdn,ece,btech,2,Yes
1,1,prof,chem,NotA,NotA,attdn,ece,mtech,2,Yes
0,1,prof,pha,NotA,NotA,std_mat,IT,btech,3,Yes
3,1,vis_prof,cse,NotA,NotA,q_pr,cse,btech,4,Yes
0,1,prof,pha,NotA,NotA,std_mat,ece,btech,3,Yes
7,1,vis_prof,me,NotA,NotA,asgn,me,btech,2,Yes
-1,1,prof,IT,NotA,NotA,attdn,IT,btech,3,Yes
4,1,adj_prof,ce,NotA,NotA,asgn,ce,mtech,2,Yes
1,1,prof,pha,NotA,NotA,attdn,cse,btech,1,Yes
0,1,prof,IT,NotA,NotA,std_mat,cse,btech,1,Yes
6,1,prof,cse,NotA,NotA,proj,cse,btech,3,Yes
1,1,prof,pha,NotA,NotA,attdn,IT,mtech,2,Yes
7,1,vis_prof,cse,NotA,NotA,asgn,cse,btech,4,Yes
0,1,prof,eni,NotA,NotA,std_mat,cse,mtech,1,Yes
1,1,prof,IT,NotA,NotA,attdn,ce,mtech,2,Yes
0,1,prof,chem,NotA,NotA,std_mat,cse,btech,3,Yes
-1,1,prof,eni,NotA,NotA,std_mat,eni,btech,3,Yes
8,1,prof,ece,NotA,NotA,quiz,ece,btech,4,Yes
0,1,prof,eni,NotA,NotA,std_mat,pha,btech,2,Yes
6,1,prof,cse,NotA,NotA,proj,cse,mtech,2,Yes
7,1,vis_prof,cse,NotA,NotA,asgn,cse,mtech,1,Yes
1,1,prof,chem,NotA,NotA,attdn,eni,btech,4,Yes
1,1,prof,eni,NotA,NotA,attdn,IT,mtech,1,Yes
0,1,prof,eni,NotA,NotA,std_mat,IT,mtech,2,Yes
2,1,stu,eni,mtech,1,asgn,eni,mtech,1,Yes
-1,1,prof,eni,NotA,NotA,std_mat,eni,btech,2,Yes
1,1,prof,eni,NotA,NotA,attdn,chem,mtech,2,Yes
2,1,stu,pha,btech,3,asgn,pha,btech,3,Yes
2,1,stu,IT,btech,4,asgn,IT,btech,4,Yes
-1,1,prof,IT,NotA,NotA,stu_rec,eni,btech,4,Yes
1,1,prof,pha,NotA,NotA,attdn,eni,mtech,1,Yes
1,1,prof,chem,NotA,NotA,attdn,pha,mtech,2,Yes
4,1,adj_prof,ece,NotA,NotA,asgn,ece,btech,4,Yes
1,1,prof,chem,NotA,NotA,attdn,ce,btech,2,Yes
0,1,prof,eni,NotA,NotA,std_mat,ece,btech,1,Yes
2,1,stu,pha,btech,1,asgn,pha,btech,1,Yes
1,1,prof,chem,NotA,NotA,attdn,ce,btech,3,Yes
1,1,prof,eni,NotA,NotA,attdn,chem,btech,4,Yes
1,1,prof,eni,NotA,NotA,attdn,IT,btech,2,Yes
1,1,prof,pha,NotA,NotA,attdn,chem,btech,2,Yes
8,1,prof,ce,NotA,NotA,quiz,ce,btech,1,Yes
0,1,prof,chem,NotA,NotA,std_mat,cse,mtech,2,Yes
0,1,prof,IT,NotA,NotA,std_mat,eni,btech,4,Yes
0,1,prof,eni,NotA,NotA,std_mat,IT,mtech,1,Yes
1,1,prof,chem,NotA,NotA,attdn,me,btech,3,Yes
3,1,vis_prof,ece,NotA,NotA,q_pr,ece,mtech,2,Yes
5,1,adj_prof,ece,NotA,NotA,q_pr,ece,mtech,2,Yes
-1,1,officer,accounts,NotA,NotA,q_pr,eni,mtech,4,No
9,1,stu,eni,btech,1,asgn,ce,btech,3,No
9,1,stu,IT,btech,3,asgn,cse,btech,1,No
-1,1,officer,accounts,NotA,NotA,q_pr,chem,btech,1,No
9,1,stu,eni,btech,4,asgn,ce,btech,2,No
10,1,stu,IT,btech,1,asgn,IT,btech,3,No
9,1,stu,chem,btech,2,asgn,ce,btech,1,No
11,1,stu,IT,btech,2,asgn,ece,btech,2,No
9,1,stu,pha,btech,3,asgn,ece,btech,1,No
11,1,stu,IT,btech,2,asgn,ce,btech,2,No
9,1,stu,pha,btech,2,asgn,cse,btech,3,No
10,1,stu,IT,btech,4,asgn,IT,btech,2,No
-1,1,officer,accounts,NotA,NotA,q_pr,pha,mtech,3,No
9,1,stu,IT,btech,1,asgn,ce,btech,4,No
12,1,stu,ece,mtech,1,dept_bud,cse,NotA,NotA,No
11,1,stu,chem,btech,3,asgn,ce,btech,3,No
11,1,stu,eni,btech,4,asgn,cse,btech,4,No
10,1,stu,me,BE,4,asgn,me,BE,2,No
-1,1,prof,ce,NotA,NotA,dept_bud,cse,NotA,NotA,No
9,1,stu,eni,btech,2,asgn,cse,btech,4,No
9,1,stu,eni,btech,3,asgn,ce,btech,2,No
9,1,stu,eni,btech,2,asgn,me,btech,4,No
-1,1,officer,accounts,NotA,NotA,q_pr,IT,mtech,3,No
10,1,stu,IT,btech,1,asgn,IT,btech,2,No
11,1,stu,chem,btech,2,asgn,me,btech,2,No
9,1,stu,eni,btech,1,asgn,cse,btech,3,No
9,1,stu,pha,btech,1,asgn,me,btech,3,No
10,1,stu,eni,btech,1,asgn,eni,btech,3,No
9,1,stu,chem,btech,4,asgn,cse,btech,2,No
9,1,stu,IT,btech,4,asgn,ece,btech,1,No
11,1,stu,eni,btech,3,asgn,me,btech,3,No
10,1,stu,cse,BE,3,asgn,cse,BE,1,No
11,1,stu,eni,btech,4,asgn,me,btech,4,No
9,1,stu,eni,btech,4,asgn,ce,btech,3,No
9,1,stu,eni,btech,1,asgn,cse,btech,4,No
10,1,stu,IT,btech,1,asgn,IT,btech,4,No
9,1,stu,eni,btech,1,asgn,ece,btech,3,No
11,1,stu,pha,btech,2,asgn,me,btech,2,No
10,1,stu,cse,BE,4,asgn,cse,BE,1,No
9,1,stu,IT,btech,1,asgn,ece,btech,4,No
11,1,stu,pha,btech,4,asgn,cse,btech,4,No
9,1,stu,IT,btech,2,asgn,me,btech,3,No
9,1,stu,IT,btech,4,asgn,ce,btech,3,No
9,1,stu,pha,btech,1,asgn,ce,btech,4,No
9,1,stu,chem,btech,3,asgn,ece,btech,4,No
9,1,stu,chem,btech,2,asgn,me,btech,3,No
9,1,stu,IT,btech,1,asgn,cse,btech,4,No
9,1,stu,IT,btech,2,asgn,cse,btech,3,No
9,1,stu,eni,btech,1,asgn,me,btech,2,No
11,1,stu,eni,btech,3,asgn,ece,btech,3,No
9,1,stu,pha,btech,1,asgn,ece,btech,4,No
9,1,stu,IT,btech,1,asgn,ece,btech,3,No
9,1,stu,pha,btech,2,asgn,ce,btech,4,No
11,1,stu,chem,btech,4,asgn,me,btech,4,No
9,1,stu,pha,btech,2,asgn,cse,btech,1,No
12,1,stu,ce,mtech,1,dept_bud,cse,NotA,NotA,No
9,1,stu,IT,btech,1,asgn,me,btech,4,No
10,1,stu,IT,btech,3,asgn,IT,btech,2,No
11,1,stu,pha,btech,4,asgn,ce,btech,4,No
9,1,stu,eni,btech,2,asgn,cse,btech,3,No
-1,1,officer,accounts,NotA,NotA,q_pr,chem,btech,3,No
9,1,stu,chem,btech,2,asgn,cse,btech,4,No
9,1,stu,eni,btech,2,asgn,ce,btech,3,No
9,1,stu,chem,btech,1,asgn,ce,btech,2,No
9,1,stu,IT,btech,4,asgn,cse,btech,1,No
10,1,stu,me,BE,3,asgn,me,BE,1,No
9,1,stu,chem,btech,2,asgn,me,btech,1,No
11,1,stu,eni,btech,2,asgn,ece,btech,2,No
9,1,stu,pha,btech,4,asgn,ece,btech,2,No
11,1,stu,chem,btech,1,asgn,cse,btech,1,No
10,1,stu,pha,btech,4,asgn,pha,btech,3,No
9,1,stu,IT,btech,1,asgn,ce,btech,3,No
11,1,stu,pha,btech,4,asgn,ece,btech,4,No
10,1,stu,ece,BE,3,asgn,ece,BE,2,No
9,1,stu,chem,btech,2,asgn,ece,btech,1,No
9,1,stu,pha,btech,4,asgn,ece,btech,3,No
9,1,stu,IT,btech,1,asgn,cse,btech,3,No
9,1,stu,pha,btech,3,asgn,cse,btech,1,No
10,1,stu,me,BE,4,asgn,me,BE,3,No
10,1,stu,cse,ME,2,asgn,cse,ME,1,No
9,1,stu,chem,btech,4,asgn,ce,btech,1,No
9,1,stu,pha,btech,2,asgn,me,btech,3,No
-1,1,officer,accounts,NotA,NotA,q_pr,eni,btech,4,No
9,1,stu,eni,btech,3,asgn,ce,btech,4,No
10,1,stu,eni,btech,2,asgn,eni,btech,4,No
9,1,stu,IT,btech,2,asgn,ece,btech,3,No
9,1,stu,IT,btech,2,asgn,ece,btech,1,No
-1,1,prof,ce,NotA,NotA,dept_bud,ece,NotA,NotA,No
11,1,stu,chem,btech,2,asgn,ece,btech,2,No
9,1,stu,pha,btech,3,asgn,me,btech,1,No
9,1,stu,chem,btech,1,asgn,ce,btech,3,No
-1,1,officer,accounts,NotA,NotA,q_pr,pha,mtech,4,No
-1,1,officer,accounts,NotA,NotA,q_pr,pha,btech,2,No
9,1,stu,pha,btech,4,asgn,me,btech,1,No
9,1,stu,IT,btech,4,asgn,ce,btech,1,No
9,1,stu,eni,btech,3,asgn,cse,btech,2,No
9,1,stu,IT,btech,4,asgn,me,btech,3,No
-1,1,officer,accounts,NotA,NotA,q_pr,IT,btech,1,No
9,1,stu,pha,btech,1,asgn,me,btech,4,No
11,1,stu,eni,btech,2,asgn,cse,btech,2,No
9,1,stu,eni,btech,3,asgn,ce,btech,1,No
11,1,stu,eni,btech,1,asgn,cse,btech,1,No
-1,1,prof,me,NotA,NotA,dept_bud,ece,NotA,NotA,No
10,1,stu,eni,btech,1,asgn,eni,btech,4,No
9,1,stu,chem,btech,1,asgn,cse,btech,4,No
9,1,stu,eni,btech,1,asgn,me,btech,3,No
10,1,stu,chem,btech,3,asgn,chem,btech,4,No
9,1,stu,pha,btech,4,asgn,me,btech,2,No
9,1,stu,chem,btech,1,asgn,ce,btech,4,No
10,1,stu,eni,btech,4,asgn,eni,btech,2,No
9,1,stu,chem,btech,4,asgn,me,btech,1,No
11,1,stu,pha,btech,2,asgn,ce,btech,2,No
9,1,stu,pha,btech,3,asgn,ece,btech,2,No
9,1,stu,pha,btech,2,asgn,ce,btech,1,No
-1,1,officer,accounts,NotA,NotA,q_pr,eni,btech,2,No
11,1,stu,pha,btech,3,asgn,ce,btech,3,No
11,1,stu,IT,btech,1,asgn,ece,btech,1,No
9,1,stu,pha,btech,1,asgn,cse,btech,4,No
9,1,stu,eni,btech,3,asgn,cse,btech,4,No
11,1,stu,pha,btech,1,asgn,ce,btech,1,No
-1,1,prof,cse,NotA,NotA,dept_bud,ece,NotA,NotA,No
9,1,stu,IT,btech,4,asgn,ce,btech,2,No
10,1,stu,IT,btech,2,asgn,IT,btech,4,No
9,1,stu,chem,btech,1,asgn,cse,btech,2,No
9,1,stu,eni,btech,4,asgn,me,btech,1,No
9,1,stu,pha,btech,2,asgn,ece,btech,1,No
10,1,stu,eni,btech,1,asgn,eni,btech,2,No
9,1,stu,IT,btech,4,asgn,cse,btech,2,No
11,1,stu,pha,btech,2,asgn,ece,btech,2,No
9,1,stu,pha,btech,2,asgn,ece,btech,4,No
9,1,stu,IT,btech,1,asgn,ce,btech,2,No
10,1,stu,ce,BE,4,asgn,ce,BE,1,No
9,1,stu,pha,btech,2,asgn,me,btech,4,No
10,1,stu,pha,btech,1,asgn,pha,btech,2,No
12,1,stu,me,mtech,1,dept_bud,cse,NotA,NotA,No
11,1,stu,IT,btech,2,asgn,cse,btech,2,No
9,1,stu,pha,btech,1,asgn,ce,btech,3,No
9,1,stu,IT,btech,3,asgn,ce,btech,4,No
10,1,stu,chem,btech,2,asgn,chem,btech,4,No
9,1,stu,pha,btech,1,asgn,ece,btech,3,No
-1,1,prof,ece,NotA,NotA,dept_bud,ce,NotA,NotA,No
9,1,stu,eni,btech,4,asgn,me,btech,2,No
9,1,stu,IT,btech,4,asgn,ece,btech,2,No
9,1,stu,IT,btech,3,asgn,me,btech,1,No
11,1,stu,eni,btech,4,asgn,ce,btech,4,No
10,1,stu,cse,BE,4,asgn,cse,BE,3,No
9,1,stu,eni,btech,3,asgn,ece,btech,1,No
10,1,stu,ce,ME,2,asgn,ce,ME,1,No
10,1,stu,eni,btech,2,asgn,eni,btech,3,No
9,1,stu,chem,btech,3,asgn,cse,btech,1,No
11,1,stu,chem,btech,2,asgn,cse,btech,2,No
10,1,stu,ce,BE,4,asgn,ce,BE,3,No
9,1,stu,chem,btech,1,asgn,ece,btech,3,No
10,1,stu,IT,btech,3,asgn,IT,btech,4,No
11,1,stu,IT,btech,1,asgn,ce,btech,1,No
10,1,stu,chem,btech,2,asgn,chem,btech,3,No
-1,1,officer,accounts,NotA,NotA,q_pr,eni,mtech,3,No
9,1,stu,eni,btech,2,asgn,ce,btech,1,No
9,1,stu,IT,btech,3,asgn,cse,btech,2,No
10,1,stu,cse,BE,4,asgn,cse,BE,2,No
11,1,stu,chem,btech,3,asgn,ece,btech,3,No
9,1,stu,pha,btech,1,asgn,ece,btech,2,No
9,1,stu,chem,btech,1,asgn,cse,btech,3,No
9,1,stu,eni,btech,4,asgn,cse,btech,1,No
9,1,stu,eni,btech,2,asgn,cse,btech,1,No
9,1,stu,chem,btech,3,asgn,cse,btech,4,No
10,1,stu,pha,btech,4,asgn,pha,btech,2,No
11,1,stu,pha,btech,1,asgn,me,btech,1,No
10,1,stu,eni,btech,3,asgn,eni,btech,2,No
10,1,stu,chem,btech,3,asgn,chem,btech,1,No
9,1,stu,pha,btech,4,asgn,cse,btech,2,No
9,1,stu,chem,btech,1,asgn,me,btech,2,No
-1,1,stu,cse,mtech,1,dept_bud,cse,NotA,NotA,No
9,1,stu,eni,btech,2,asgn,me,btech,3,No
11,1,stu,IT,btech,3,asgn,ece,btech,3,No
9,1,stu,IT,btech,4,asgn,ece,btech,3,No
10,1,stu,me,BE,3,asgn,me,BE,2,No
10,1,stu,ece,BE,2,asgn,ece,BE,1,No
9,1,stu,chem,btech,3,asgn,me,btech,4,No
9,1,stu,chem,btech,4,asgn,ece,btech,2,No
9,1,stu,chem,btech,4,asgn,ece,btech,1,No
11,1,stu,IT,btech,3,asgn,cse,btech,3,No
11,1,stu,chem,btech,4,asgn,ece,btech,4,No
10,1,stu,pha,btech,1,asgn,pha,btech,3,No
