Designation,Post,Course,Department,Degree,Year,Type,Department.1,Course.1,Degree.1,Year.1,Access
Teaching_assis,Temporary,CE_20,CE,NotA,NotA,answer_sheet,CE,CE_20,BTech,1,Yes
Teaching_assis,Temporary,Mech_9,Mech,NotA,NotA,compre_paper,Mech,Mech_9,BTech,4,Yes
Stud_representative,Undergraduate,CSE_9,CSE,BTech,2,result,CSE,CSE_9,BTech,2,Yes
Faculty,Temporary,CSE_13,CSE,NotA,NotA,mids_paper,CSE,CSE_13,BTech,2,Yes
Faculty,Temporary,CSE_6,CSE,NotA,NotA,compre_paper,CSE,CSE_6,BTech,2,Yes
Stud_representative,Undergraduate,Mech_10,Mech,BTech,3,assgn,Mech,Mech_10,BTech,3,Yes
Faculty,Temporary,CSE_21,CSE,NotA,NotA,mids_paper,CSE,CSE_21,BTech,4,Yes
Stud_representative,Graduate,CSE_22,CSE,MTech,1,mids_paper,CSE,CSE_22,MTech,1,Yes
Stud,Undergraduate,CSE_10,CSE,BTech,2,report_assgn,CSE,CSE_10,BTech,2,Yes
Faculty,Temporary,Mech_17,Mech,NotA,NotA,compre_paper,Mech,Mech_17,BTech,2,Yes
Faculty,Temporary,CSE_12,CSE,NotA,NotA,assgn,CSE,CSE_12,BTech,4,Yes
Stud_representative,Undergraduate,ECE_9,ECE,BTech,3,result,ECE,ECE_9,BTech,3,Yes
Teaching_assis,Temporary,CE_27,CE,NotA,NotA,answer_sheet,CE,CE_27,BTech,2,Yes
Stud,Undergraduate,ECE_2,ECE,BTech,2,report_assgn,ECE,ECE_2,BTech,2,Yes
Teaching_assis,Temporary,CE_15,CE,NotA,NotA,assgn,CE,CE_15,BTech,4,Yes
Teaching_assis,Temporary,CSE_24,CSE,NotA,NotA,mids_paper,CSE,CSE_24,MTech,1,Yes
Faculty,Temporary,CSE_27,CSE,NotA,NotA,answer_sheet,CSE,CSE_27,BTech,2,Yes
Teaching_assis,Temporary,CE_29,CE,NotA,NotA,compre_paper,CE,CE_29,MTech,2,Yes
Faculty,Temporary,CSE_28,CSE,NotA,NotA,assgn,CSE,CSE_28,BTech,2,Yes
Teaching_assis,Temporary,CSE_3,CSE,NotA,NotA,assgn,CSE,CSE_3,MTech,2,Yes
Stud_representative,Undergraduate,CSE_4,CSE,BTech,2,compre_paper,CSE,CSE_4,BTech,2,Yes
Faculty,Temporary,CE_30,CE,NotA,NotA,answer_sheet,CE,CE_30,MTech,1,Yes
Faculty,Temporary,CE_20,CE,NotA,NotA,assgn,CE,CE_20,BTech,2,Yes
Stud_representative,Undergraduate,CE_17,CE,BTech,4,assgn,CE,CE_17,BTech,4,Yes
Teaching_assis,Temporary,CSE_21,CSE,NotA,NotA,compre_paper,CSE,CSE_21,MTech,1,Yes
Faculty,Temporary,CE_14,CE,NotA,NotA,assgn,CE,CE_14,MTech,3,Yes
Accountant,Non_Teaching,NotA,Account,MTech,NotA,payment_details,CE,NotA,MTech,NotA,Yes
Faculty,Temporary,CE_30,CE,NotA,NotA,compre_paper,CE,CE_30,MTech,3,Yes
Teaching_assis,Temporary,Mech_30,Mech,NotA,NotA,answer_sheet,Mech,Mech_30,BTech,3,Yes
Faculty,Temporary,Mech_12,Mech,NotA,NotA,mids_paper,Mech,Mech_12,BTech,4,Yes
Teaching_assis,Temporary,Mech_1,Mech,NotA,NotA,compre_paper,Mech,Mech_1,BTech,4,Yes
Stud_representative,Undergraduate,Mech_13,Mech,BTech,4,mids_paper,Mech,Mech_13,BTech,4,Yes
Stud_representative,Undergraduate,CSE_8,CSE,BTech,4,compre_paper,CSE,CSE_8,BTech,4,Yes
Teaching_assis,Temporary,CSE_18,CSE,NotA,NotA,answer_sheet,CSE,CSE_18,BTech,4,Yes
Faculty,Temporary,Mech_28,Mech,NotA,NotA,compre_paper,Mech,Mech_28,BTech,2,Yes
Stud_representative,Undergraduate,CSE_1,CSE,BTech,1,mids_paper,CSE,CSE_1,BTech,1,Yes
Teaching_assis,Temporary,Mech_21,Mech,NotA,NotA,compre_paper,Mech,Mech_21,MTech,1,Yes
Teaching_assis,Temporary,CSE_12,CSE,NotA,NotA,answer_sheet,CSE,CSE_12,MTech,3,Yes
Faculty,Temporary,Mech_7,Mech,NotA,NotA,compre_paper,Mech,Mech_7,BTech,2,Yes
Faculty,Temporary,CE_4,CE,NotA,NotA,assgn,CE,CE_4,MTech,2,Yes
Teaching_assis,Temporary,Mech_29,Mech,NotA,NotA,mids_paper,Mech,Mech_29,BTech,1,Yes
Teaching_assis,Temporary,CSE_27,CSE,NotA,NotA,assgn,CSE,CSE_27,MTech,1,Yes
Faculty,Temporary,CE_4,CE,NotA,NotA,answer_sheet,CE,CE_4,MTech,1,Yes
Teaching_assis,Temporary,Mech_19,Mech,NotA,NotA,answer_sheet,Mech,Mech_19,MTech,1,Yes
Faculty,Temporary,Mech_24,Mech,NotA,NotA,mids_paper,Mech,Mech_24,MTech,4,Yes
Faculty,Temporary,CE_8,CE,NotA,NotA,answer_sheet,CE,CE_8,MTech,3,Yes
Stud_representative,Graduate,CSE_25,CSE,MTech,2,assgn,CSE,CSE_25,MTech,2,Yes
Teaching_assis,Temporary,CSE_15,CSE,NotA,NotA,assgn,CSE,CSE_15,MTech,1,Yes
Teaching_assis,Temporary,CSE_30,CSE,NotA,NotA,answer_sheet,CSE,CSE_30,MTech,1,Yes
Teaching_assis,Temporary,CSE_17,CSE,NotA,NotA,assgn,CSE,CSE_17,BTech,1,Yes
Teaching_assis,Temporary,CE_22,CE,NotA,NotA,compre_paper,CE,CE_22,MTech,2,Yes
Faculty,Temporary,CSE_30,CSE,NotA,NotA,assgn,CSE,CSE_30,MTech,4,Yes
Teaching_assis,Temporary,CSE_20,CSE,NotA,NotA,assgn,CSE,CSE_20,BTech,1,Yes
Faculty,Temporary,Mech_22,Mech,NotA,NotA,compre_paper,Mech,Mech_22,BTech,2,Yes
Faculty,Temporary,Mech_26,Mech,NotA,NotA,answer_sheet,Mech,Mech_26,MTech,2,Yes
Teaching_assis,Temporary,Mech_2,Mech,NotA,NotA,compre_paper,Mech,Mech_2,MTech,3,Yes
Stud_representative,Graduate,Mech_22,Mech,MTech,1,compre_paper,Mech,Mech_22,MTech,1,Yes
Faculty,Temporary,CE_30,CE,NotA,NotA,answer_sheet,CE,CE_30,BTech,2,Yes
Teaching_assis,Temporary,CSE_3,CSE,NotA,NotA,answer_sheet,CSE,CSE_3,MTech,2,Yes
Teaching_assis,PhD,ECE_6,ECE,BTech,2,report_assgn,ECE,ECE_7,BTech,2,Yes
Faculty,Temporary,CSE_20,CSE,NotA,NotA,compre_paper,CSE,CSE_20,BTech,3,Yes
Faculty,Temporary,CE_16,CE,NotA,NotA,answer_sheet,CE,CE_16,MTech,1,Yes
Faculty,Temporary,CSE_4,CSE,NotA,NotA,assgn,CSE,CSE_4,MTech,3,Yes
Stud_representative,Graduate,ECE_25,ECE,MTech,2,assgn,ECE,ECE_25,MTech,2,Yes
Faculty,Temporary,CE_16,CE,NotA,NotA,answer_sheet,CE,CE_16,BTech,2,Yes
Stud_representative,Undergraduate,CE_2,CE,BTech,1,mids_paper,CE,CE_2,BTech,1,Yes
Faculty,Associate,CE_18,CE,NotA,NotA,report_assgn,CE,CE_18,BTech,4,Yes
Faculty,Temporary,Mech_6,Mech,NotA,NotA,compre_paper,Mech,Mech_6,MTech,2,Yes
Teaching_assis,Temporary,Mech_12,Mech,NotA,NotA,compre_paper,Mech,Mech_12,MTech,3,Yes
Teaching_assis,Temporary,CSE_15,CSE,NotA,NotA,answer_sheet,CSE,CSE_15,BTech,2,Yes
Faculty,Temporary,CSE_4,CSE,NotA,NotA,answer_sheet,CSE,CSE_4,BTech,4,Yes
Teaching_assis,Temporary,CSE_11,CSE,NotA,NotA,assgn,CSE,CSE_11,MTech,3,Yes
Stud_representative,Undergraduate,Mech_16,Mech,BTech,4,assgn,Mech,Mech_16,BTech,4,Yes
Faculty,Temporary,Mech_17,Mech,NotA,NotA,compre_paper,Mech,Mech_17,MTech,3,Yes
Teaching_assis,Temporary,CSE_12,CSE,NotA,NotA,mids_paper,CSE,CSE_12,MTech,2,Yes
Faculty,Temporary,CE_23,CE,NotA,NotA,answer_sheet,CE,CE_23,MTech,2,Yes
Faculty,Temporary,Mech_25,Mech,NotA,NotA,compre_paper,Mech,Mech_25,MTech,2,Yes
Faculty,Temporary,CSE_23,CSE,NotA,NotA,answer_sheet,CSE,CSE_23,BTech,3,Yes
Teaching_assis,Temporary,CE_25,CE,NotA,NotA,compre_paper,CE,CE_25,BTech,3,Yes
Stud_representative,Undergraduate,CSE_8,CSE,BTech,2,answer_sheet,CSE,CSE_8,BTech,2,Yes
Stud,Undergraduate,CSE_12,CSE,BTech,3,report_assgn,CSE,CSE_12,BTech,3,Yes
Teaching_assis,Temporary,CSE_14,CSE,NotA,NotA,compre_paper,CSE,CSE_14,BTech,4,Yes
Teaching_assis,Temporary,Mech_19,Mech,NotA,NotA,assgn,Mech,Mech_19,BTech,3,Yes
Teaching_assis,Temporary,CSE_10,CSE,NotA,NotA,answer_sheet,CSE,CSE_10,MTech,1,Yes
Faculty,Assistant,CSE_11,CSE,NotA,NotA,report_assgn,CSE,CSE_11,BTech,3,Yes
Faculty,Temporary,CE_19,CE,NotA,NotA,assgn,CE,CE_19,MTech,4,Yes
Teaching_assis,PhD,CSE_11,CSE,BTech,3,report_assgn,CSE,CSE_12,BTech,3,Yes
Faculty,Temporary,CSE_27,CSE,NotA,NotA,mids_paper,CSE,CSE_27,BTech,3,Yes
Stud_representative,Undergraduate,Mech_3,Mech,BTech,3,mids_paper,Mech,Mech_3,BTech,3,Yes
Faculty,Temporary,CE_17,CE,NotA,NotA,mids_paper,CE,CE_17,BTech,2,Yes
Teaching_assis,Temporary,Mech_25,Mech,NotA,NotA,assgn,Mech,Mech_25,MTech,1,Yes
Stud_representative,Undergraduate,Mech_4,Mech,BTech,2,result,Mech,Mech_4,BTech,2,Yes
Faculty,Associate,CSE_17,CSE,NotA,NotA,report_assgn,CSE,CSE_17,BTech,4,Yes
Stud,Undergraduate,Mech_4,Mech,BTech,1,report_assgn,Mech,Mech_4,BTech,1,Yes
Faculty,Temporary,CE_18,CE,NotA,NotA,assgn,CE,CE_18,BTech,2,Yes
Faculty,Temporary,Mech_26,Mech,NotA,NotA,assgn,Mech,Mech_26,BTech,1,Yes
Teaching_assis,Temporary,CSE_3,CSE,NotA,NotA,assgn,CSE,CSE_3,MTech,1,Yes
Teaching_assis,Temporary,Mech_9,Mech,NotA,NotA,assgn,Mech,Mech_9,BTech,3,Yes
Stud,Undergraduate,CE_13,CE,BTech,3,report_assgn,CE,CE_13,BTech,3,Yes
Faculty,Temporary,CSE_21,CSE,NotA,NotA,assgn,CSE,CSE_21,MTech,1,Yes
Teaching_assis,Temporary,CSE_26,CSE,NotA,NotA,assgn,CSE,CSE_26,MTech,1,Yes
Teaching_assis,Temporary,Mech_18,Mech,NotA,NotA,mids_paper,Mech,Mech_18,MTech,3,Yes
Faculty,Temporary,CE_9,CE,NotA,NotA,assgn,CE,CE_9,BTech,4,Yes
Teaching_assis,Temporary,CE_12,CE,NotA,NotA,mids_paper,CE,CE_12,BTech,4,Yes
Faculty,Temporary,CSE_6,CSE,NotA,NotA,assgn,CSE,CSE_6,BTech,3,Yes
Stud_representative,Undergraduate,CSE_5,CSE,BTech,4,mids_paper,CSE,CSE_5,BTech,4,Yes
Faculty,Temporary,Mech_27,Mech,NotA,NotA,assgn,Mech,Mech_27,BTech,2,Yes
Stud_representative,Undergraduate,ECE_10,ECE,BTech,4,compre_paper,ECE,ECE_10,BTech,4,Yes
Stud_representative,Undergraduate,Mech_13,Mech,BTech,4,assgn,Mech,Mech_13,BTech,4,Yes
Faculty,Temporary,Mech_20,Mech,NotA,NotA,answer_sheet,Mech,Mech_20,BTech,1,Yes
Faculty,Temporary,CE_13,CE,NotA,NotA,answer_sheet,CE,CE_13,BTech,3,Yes
Teaching_assis,Temporary,Mech_11,Mech,NotA,NotA,assgn,Mech,Mech_11,BTech,2,Yes
Teaching_assis,Temporary,CSE_16,CSE,NotA,NotA,assgn,CSE,CSE_16,BTech,1,Yes
Teaching_assis,Temporary,CSE_4,CSE,NotA,NotA,compre_paper,CSE,CSE_4,MTech,4,Yes
Teaching_assis,PhD,Mech_31,Mech,BTech,1,assgn,Mech,Mech_31,BTech,1,Yes
Teaching_assis,Temporary,CE_11,CE,NotA,NotA,answer_sheet,CE,CE_11,BTech,2,Yes
Faculty,Temporary,CSE_5,CSE,NotA,NotA,answer_sheet,CSE,CSE_5,BTech,4,Yes
Teaching_assis,Temporary,CSE_25,CSE,NotA,NotA,assgn,CSE,CSE_25,BTech,1,Yes
Stud_representative,Undergraduate,CSE_6,CSE,BTech,2,attendance,CSE,CSE_6,BTech,2,Yes
Faculty,Temporary,CE_11,CE,NotA,NotA,answer_sheet,CE,CE_11,MTech,1,Yes
Faculty,Associate,CSE_22,CSE,NotA,NotA,report_assgn,CSE,CSE_22,MTech,1,Yes
Stud_representative,Undergraduate,Mech_3,Mech,BTech,2,result,Mech,Mech_3,BTech,2,Yes
Teaching_assis,Temporary,Mech_27,Mech,NotA,NotA,compre_paper,Mech,Mech_27,MTech,2,Yes
Stud_representative,Undergraduate,Mech_15,Mech,BTech,3,result,Mech,Mech_15,BTech,3,Yes
Teaching_assis,Temporary,CE_13,CE,NotA,NotA,answer_sheet,CE,CE_13,BTech,2,Yes
Teaching_assis,Temporary,CE_16,CE,NotA,NotA,answer_sheet,CE,CE_16,BTech,4,Yes
Teaching_assis,Temporary,Mech_30,Mech,NotA,NotA,mids_paper,Mech,Mech_30,BTech,3,Yes
Faculty,Temporary,CSE_24,CSE,NotA,NotA,mids_paper,CSE,CSE_24,MTech,3,Yes
Faculty,Temporary,Mech_12,Mech,NotA,NotA,assgn,Mech,Mech_12,MTech,2,Yes
Teaching_assis,Temporary,CE_2,CE,NotA,NotA,mids_paper,CE,CE_2,BTech,2,Yes
Faculty,Temporary,CE_17,CE,NotA,NotA,compre_paper,CE,CE_17,BTech,2,Yes
Faculty,Temporary,CE_30,CE,NotA,NotA,compre_paper,CE,CE_30,BTech,4,Yes
Faculty,Temporary,Mech_15,Mech,NotA,NotA,compre_paper,Mech,Mech_15,MTech,3,Yes
Faculty,Temporary,CSE_23,CSE,NotA,NotA,compre_paper,CSE,CSE_23,MTech,2,Yes
Teaching_assis,Temporary,Mech_6,Mech,NotA,NotA,answer_sheet,Mech,Mech_6,MTech,1,Yes
Teaching_assis,Temporary,CSE_20,CSE,NotA,NotA,compre_paper,CSE,CSE_20,MTech,2,Yes
Teaching_assis,Temporary,CE_20,CE,NotA,NotA,compre_paper,CE,CE_20,MTech,2,Yes
Stud_representative,Undergraduate,Mech_18,Mech,BTech,4,answer_sheet,Mech,Mech_18,BTech,4,Yes
Teaching_assis,Temporary,CE_6,CE,NotA,NotA,assgn,CE,CE_6,MTech,4,Yes
Teaching_assis,Temporary,CSE_4,CSE,NotA,NotA,answer_sheet,CSE,CSE_4,BTech,4,Yes
Stud_representative,Undergraduate,CSE_7,CSE,BTech,2,assgn,CSE,CSE_7,BTech,2,Yes
Teaching_assis,Temporary,CSE_5,CSE,NotA,NotA,mids_paper,CSE,CSE_5,BTech,1,Yes
Faculty,Temporary,CE_27,CE,NotA,NotA,mids_paper,CE,CE_27,MTech,1,Yes
Teaching_assis,Temporary,Mech_10,Mech,NotA,NotA,answer_sheet,Mech,Mech_10,BTech,4,Yes
Faculty,Temporary,CSE_21,CSE,NotA,NotA,assgn,CSE,CSE_21,BTech,3,Yes
Stud_representative,Undergraduate,CSE_3,CSE,BTech,1,result,CSE,CSE_3,BTech,1,Yes
Teaching_assis,Temporary,CSE_19,CSE,NotA,NotA,compre_paper,CSE,CSE_19,MTech,4,Yes
Faculty,Temporary,Mech_13,Mech,NotA,NotA,answer_sheet,Mech,Mech_13,BTech,2,Yes
Teaching_assis,Temporary,CSE_19,CSE,NotA,NotA,answer_sheet,CSE,CSE_19,BTech,3,Yes
Faculty,Associate,ECE_9,ECE,NotA,NotA,report_assgn,ECE,ECE_9,BTech,3,Yes
Teaching_assis,Temporary,Mech_13,Mech,NotA,NotA,mids_paper,Mech,Mech_13,MTech,2,Yes
Faculty,Temporary,Mech_28,Mech,NotA,NotA,assgn,Mech,Mech_28,BTech,1,Yes
Faculty,Associate,CSE_3,CSE,NotA,NotA,report_assgn,CSE,CSE_3,BTech,1,Yes
Teaching_assis,Temporary,CE_10,CE,NotA,NotA,compre_paper,CE,CE_10,BTech,4,Yes
Stud_representative,Undergraduate,Mech_15,Mech,BTech,3,compre_paper,Mech,Mech_15,BTech,3,Yes
Faculty,Temporary,CSE_29,CSE,NotA,NotA,compre_paper,CSE,CSE_29,BTech,4,Yes
Stud_representative,Undergraduate,CSE_6,CSE,BTech,4,compre_paper,CSE,CSE_6,BTech,4,Yes
Stud_representative,Undergraduate,CSE_12,CSE,BTech,3,attendance,CSE,CSE_15,BTech,3,Yes
Teaching_assis,Temporary,CE_6,CE,NotA,NotA,mids_paper,CE,CE_6,MTech,4,Yes
Teaching_assis,Temporary,CE_19,CE,NotA,NotA,compre_paper,CE,CE_19,BTech,1,Yes
Teaching_assis,Temporary,CE_12,CE,NotA,NotA,compre_paper,CE,CE_12,BTech,1,Yes
Teaching_assis,Temporary,CE_4,CE,NotA,NotA,mids_paper,CE,CE_4,MTech,3,Yes
Faculty,Temporary,CE_3,CE,NotA,NotA,answer_sheet,CE,CE_3,BTech,2,Yes
Stud_representative,Graduate,CE_24,CE,MTech,2,result,CE,CE_24,MTech,2,Yes
Faculty,Assistant,Mech_9,Mech,NotA,NotA,report_assgn,Mech,Mech_9,BTech,2,Yes
Faculty,Temporary,CE_25,CE,NotA,NotA,mids_paper,CE,CE_25,MTech,4,Yes
Faculty,Temporary,Mech_6,Mech,NotA,NotA,compre_paper,Mech,Mech_6,MTech,3,Yes
Faculty,Temporary,Mech_13,Mech,NotA,NotA,answer_sheet,Mech,Mech_13,MTech,1,Yes
Teaching_assis,Temporary,CE_28,CE,NotA,NotA,answer_sheet,CE,CE_28,BTech,3,Yes
Teaching_assis,PhD,CE_30,CE,MTech,2,report_assgn,CE,CE_30,MTech,2,Yes
Faculty,Assistant,CE_7,CE,NotA,NotA,report_assgn,CE,CE_7,BTech,3,Yes
Faculty,Temporary,CE_3,CE,NotA,NotA,answer_sheet,CE,CE_3,MTech,1,Yes
Faculty,Temporary,CSE_25,CSE,NotA,NotA,compre_paper,CSE,CSE_25,BTech,4,Yes
Teaching_assis,Temporary,CE_26,CE,NotA,NotA,assgn,CE,CE_26,MTech,4,Yes
Faculty,Temporary,CSE_11,CSE,NotA,NotA,mids_paper,CSE,CSE_11,MTech,3,Yes
Faculty,Assistant,Mech_26,Mech,NotA,NotA,report_assgn,Mech,Mech_26,MTech,2,Yes
Teaching_assis,Temporary,CE_4,CE,NotA,NotA,mids_paper,CE,CE_4,BTech,1,Yes
Teaching_assis,Temporary,CSE_21,CSE,NotA,NotA,compre_paper,CSE,CSE_21,BTech,4,Yes
Teaching_assis,Temporary,Mech_2,Mech,NotA,NotA,assgn,Mech,Mech_2,MTech,1,Yes
Faculty,Temporary,Mech_11,Mech,NotA,NotA,mids_paper,Mech,Mech_11,MTech,1,Yes
Faculty,Temporary,CE_9,CE,NotA,NotA,answer_sheet,CE,CE_9,BTech,2,Yes
Teaching_assis,PhD,CE_17,CE,BTech,4,report_assgn,CE,CE_20,BTech,4,Yes
Teaching_assis,Temporary,CE_17,CE,NotA,NotA,mids_paper,CE,CE_17,MTech,3,Yes
Stud,Undergraduate,ECE_13,ECE,BTech,4,report_assgn,ECE,ECE_13,BTech,4,Yes
Stud_representative,Undergraduate,CE_8,CE,BTech,2,mids_paper,CE,CE_8,BTech,2,Yes
Teaching_assis,Temporary,CE_5,CE,NotA,NotA,mids_paper,CE,CE_5,BTech,4,Yes
Stud_representative,Graduate,ECE_21,ECE,MTech,1,attendance,ECE,ECE_25,MTech,1,Yes
Teaching_assis,Temporary,Mech_25,Mech,NotA,NotA,mids_paper,Mech,Mech_25,MTech,4,Yes
Faculty,Temporary,CSE_21,CSE,NotA,NotA,assgn,CSE,CSE_21,MTech,3,Yes
Faculty,Assistant,Mech_5,Mech,NotA,NotA,report_assgn,Mech,Mech_5,BTech,2,Yes
Teaching_assis,Temporary,CSE_21,CSE,NotA,NotA,assgn,CSE,CSE_21,BTech,4,Yes
Teaching_assis,Temporary,Mech_11,Mech,NotA,NotA,mids_paper,Mech,Mech_11,BTech,3,Yes
Stud_representative,Undergraduate,CE_9,CE,BTech,2,mids_paper,CE,CE_9,BTech,2,Yes
Faculty,Temporary,Mech_2,Mech,NotA,NotA,mids_paper,Mech,Mech_2,BTech,2,Yes
Faculty,Temporary,CSE_29,CSE,NotA,NotA,answer_sheet,CSE,CSE_29,BTech,3,Yes
Teaching_assis,Temporary,CSE_27,CSE,NotA,NotA,answer_sheet,CSE,CSE_27,MTech,1,Yes
Faculty,Temporary,CE_19,CE,NotA,NotA,assgn,CE,CE_19,BTech,1,Yes
Faculty,Temporary,Mech_16,Mech,NotA,NotA,compre_paper,Mech,Mech_16,BTech,3,Yes
Teaching_assis,Temporary,Mech_29,Mech,NotA,NotA,answer_sheet,Mech,Mech_29,MTech,2,Yes
Teaching_assis,Temporary,CSE_23,CSE,NotA,NotA,answer_sheet,CSE,CSE_23,BTech,2,Yes
Stud_representative,Undergraduate,CSE_5,CSE,BTech,4,compre_paper,CSE,CSE_5,BTech,4,Yes
Teaching_assis,PhD,ECE_18,ECE,BTech,4,report_assgn,ECE,ECE_20,BTech,4,Yes
Teaching_assis,Temporary,CE_27,CE,NotA,NotA,compre_paper,CE,CE_27,MTech,4,Yes
Teaching_assis,Temporary,Mech_19,Mech,NotA,NotA,compre_paper,Mech,Mech_19,MTech,1,Yes
Faculty,Temporary,CSE_15,CSE,NotA,NotA,assgn,CSE,CSE_15,MTech,4,Yes
Teaching_assis,Temporary,CE_15,CE,NotA,NotA,compre_paper,CE,CE_15,BTech,4,Yes
Stud_representative,Graduate,CSE_23,CSE,MTech,1,attendance,CSE,CSE_25,MTech,1,Yes
Faculty,Temporary,CE_21,CE,NotA,NotA,compre_paper,CE,CE_21,BTech,3,Yes
Faculty,Associate,ECE_7,ECE,NotA,NotA,report_assgn,ECE,ECE_7,BTech,2,Yes
Stud_representative,Undergraduate,ECE_10,ECE,BTech,3,mids_paper,ECE,ECE_10,BTech,3,Yes
Faculty,Temporary,Mech_24,Mech,NotA,NotA,answer_sheet,Mech,Mech_24,BTech,1,Yes
Teaching_assis,Temporary,CSE_5,CSE,NotA,NotA,answer_sheet,CSE,CSE_5,MTech,3,Yes
Stud_representative,Graduate,CE_30,CE,MTech,2,attendance,CE,CE_30,MTech,2,Yes
Stud_representative,Undergraduate,ECE_14,ECE,BTech,3,assgn,ECE,ECE_14,BTech,3,Yes
Faculty,Temporary,CSE_9,CSE,NotA,NotA,mids_paper,CSE,CSE_9,BTech,2,Yes
Faculty,Temporary,CE_5,CE,NotA,NotA,assgn,CE,CE_5,MTech,4,Yes
Teaching_assis,PhD,CE_16,CE,BTech,4,report_assgn,CE,CE_19,BTech,4,Yes
Teaching_assis,Temporary,CSE_5,CSE,NotA,NotA,answer_sheet,CSE,CSE_5,BTech,4,Yes
Teaching_assis,Temporary,Mech_26,Mech,NotA,NotA,assgn,Mech,Mech_26,BTech,3,Yes
Faculty,Assistant,Mech_10,Mech,NotA,NotA,report_assgn,Mech,Mech_10,BTech,2,Yes
Stud_representative,Undergraduate,Mech_3,Mech,BTech,1,compre_paper,Mech,Mech_3,BTech,1,Yes
Teaching_assis,Temporary,CSE_30,CSE,NotA,NotA,answer_sheet,CSE,CSE_30,MTech,3,Yes
Faculty,Temporary,CE_22,CE,NotA,NotA,answer_sheet,CE,CE_22,MTech,4,Yes
Teaching_assis,Temporary,Mech_25,Mech,NotA,NotA,compre_paper,Mech,Mech_25,MTech,1,Yes
Stud_representative,Graduate,CSE_23,CSE,MTech,2,mids_paper,CSE,CSE_23,MTech,2,Yes
Faculty,Temporary,CE_29,CE,NotA,NotA,mids_paper,CE,CE_29,BTech,4,Yes
Faculty,Temporary,CSE_21,CSE,NotA,NotA,answer_sheet,CSE,CSE_21,BTech,2,Yes
Faculty,Assistant,CE_12,CE,NotA,NotA,report_assgn,CE,CE_12,BTech,4,Yes
Teaching_assis,Temporary,Mech_27,Mech,NotA,NotA,assgn,Mech,Mech_27,MTech,2,Yes
Stud_representative,Undergraduate,Mech_8,Mech,BTech,3,mids_paper,Mech,Mech_8,BTech,3,Yes
Faculty,Temporary,CE_13,CE,NotA,NotA,answer_sheet,CE,CE_13,MTech,4,Yes
Stud_representative,Undergraduate,CSE_9,CSE,BTech,3,compre_paper,CSE,CSE_9,BTech,3,Yes
Teaching_assis,Temporary,Mech_24,Mech,NotA,NotA,assgn,Mech,Mech_24,BTech,2,Yes
Teaching_assis,Temporary,CSE_24,CSE,NotA,NotA,mids_paper,CSE,CSE_24,BTech,1,Yes
Teaching_assis,Temporary,CSE_14,CSE,NotA,NotA,compre_paper,CSE,CSE_14,MTech,2,Yes
Teaching_assis,Temporary,CE_22,CE,NotA,NotA,mids_paper,CE,CE_22,MTech,2,Yes
Teaching_assis,Temporary,CSE_14,CSE,NotA,NotA,answer_sheet,CSE,CSE_14,BTech,1,Yes
Teaching_assis,Temporary,CE_17,CE,NotA,NotA,assgn,CE,CE_17,BTech,1,Yes
Faculty,Temporary,Mech_27,Mech,NotA,NotA,mids_paper,Mech,Mech_27,MTech,2,Yes
Teaching_assis,Temporary,Mech_12,Mech,NotA,NotA,assgn,Mech,Mech_12,BTech,2,Yes
Faculty,Temporary,Mech_28,Mech,NotA,NotA,mids_paper,Mech,Mech_28,BTech,4,Yes
